,no_bab,nama_bab,no_bagian,nama_bagian,no_paragraf,nama_paragraf,no_pasal,no_ayat,isi_ayat,pasal_ayat,penjelasan_pasal,no_ayat_y,penjelasan,nomor_uu,tahun_uu
10,III,"PENDIRIAN, KEPEMILIKAN, DAN PERIZINAN",Kesatu,Pendirian,,,7,2," Ketentuan mengenai besaran modal LKM diatur dalam Peraturan
Otoritas Jasa Keuangan.",7-2,Cukup jelas.,,,1,2013
11,III,"PENDIRIAN, KEPEMILIKAN, DAN PERIZINAN",Kedua,Kepemilikan,,,8,,"LKM hanya dapat dimiliki oleh:
a. warga negara Indonesia;
b. badan usaha milik desa/kelurahan;
c. Pemerintah Daerah Kabupaten/Kota; dan/atau
d. koperasi.",8-,Cukup jelas.,,Cukup jelas.,1,2013
12,III,"PENDIRIAN, KEPEMILIKAN, DAN PERIZINAN",Ketiga,Perizinan,,,9,1," Sebelum menjalankan kegiatan usaha, LKM harus memiliki izin usaha
dari Otoritas Jasa Keuangan.",9-1,Cukup jelas.,,,1,2013
13,III,"PENDIRIAN, KEPEMILIKAN, DAN PERIZINAN",Ketiga,Perizinan,,,9,2," Untuk memperoleh izin usaha LKM sebagaimana dimaksud pada ayat(1), harus dipenuhi persyaratan paling sedikit mengenai:
a. susunan organisasi dan kepengurusan;
b. permodalan;
c. kepemilikan; dan
d. kelayakan rencana kerja.",9-2,Cukup jelas.,,,1,2013
14,III,"PENDIRIAN, KEPEMILIKAN, DAN PERIZINAN",Ketiga,Perizinan,,,10,,"Ketentuan lebih lanjut mengenai permodalan sebagaimana dimaksud
dalam Pasal 4 huruf b, kepemilikan LKM sebagaimana dimaksud dalam
Pasal 8, dan tata cara perizinan usaha sebagaimana dimaksud dalam
Pasal 9 diatur dalam Peraturan Otoritas Jasa Keuangan.",10-,Cukup jelas.,,Cukup jelas.,1,2013
15,IV,KEGIATAN USAHA DAN CAKUPAN WILAYAH USAHA,Kesatu,Kegiatan Usaha,,,11,1," Kegiatan usaha LKM meliputi jasa pengembangan usaha dan
pemberdayaan masyarakat, baik melalui Pinjaman atau Pembiayaan
dalam usaha skala mikro kepada anggota dan masyarakat,
pengelolaan Simpanan, maupun pemberian jasa konsultasi
pengembangan usaha.",11-1,Cukup jelas.,,,1,2013
16,IV,KEGIATAN USAHA DAN CAKUPAN WILAYAH USAHA,Kesatu,Kegiatan Usaha,,,11,2," Ketentuan mengenai suku bunga Pinjaman atau imbal hasil
Pembiayaan diatur dalam Peraturan Pemerintah.",11-2,Cukup jelas.,,,1,2013
17,IV,KEGIATAN USAHA DAN CAKUPAN WILAYAH USAHA,Kesatu,Kegiatan Usaha,,,12,1," Penyaluran Pinjaman atau Pembiayaan dan pengelolaan Simpanan
oleh LKM sebagaimana dimaksud dalam Pasal 11 ayat (1)
dilaksanakan secara konvensional atau berdasarkan prinsip syariah.",12-1,Cukup jelas.,,,1,2013
18,IV,KEGIATAN USAHA DAN CAKUPAN WILAYAH USAHA,Kesatu,Kegiatan Usaha,,,12,2," Kegiatan usaha berdasarkan prinsip syariah sebagaimana dimaksud
pada ayat (1) wajib dilaksanakan sesuai dengan fatwa syariah yang
dikeluarkan oleh Dewan Syariah Nasional, Majelis Ulama Indonesia.",12-2,Cukup jelas.,,,1,2013
19,IV,KEGIATAN USAHA DAN CAKUPAN WILAYAH USAHA,Kesatu,Kegiatan Usaha,,,13,1," Untuk melakukan kegiatan usaha berdasarkan prinsip syariah
sebagaimana dimaksud dalam Pasal 12 ayat (2), LKM wajib
membentuk dewan pengawas syariah.",13-1,Cukup jelas.,,,1,2013
20,IV,KEGIATAN USAHA DAN CAKUPAN WILAYAH USAHA,Kesatu,Kegiatan Usaha,,,13,2," Dewan pengawas syariah sebagaimana dimaksud pada ayat (1)
bertugas memberikan nasihat dan saran kepada direksi atau
pengurus serta mengawasi kegiatan LKM agar sesuai dengan prinsip
syariah.",13-2,Cukup jelas.,,,1,2013
21,IV,KEGIATAN USAHA DAN CAKUPAN WILAYAH USAHA,Kesatu,Kegiatan Usaha,,,14,,"Dalam melakukan kegiatan usaha, LKM dilarang:
a. menerima Simpanan berupa giro dan ikut serta dalam lalu lintas
pembayaran;
b. melakukan kegiatan usaha dalam valuta asing;
c. melakukan usaha perasuransian sebagai penanggung;
d. bertindak sebagai penjamin;
e. memberi pinjaman atau pembiayaan kepada LKM lain, kecuali dalam
rangka mengatasi kesulitan likuiditas bagi LKM lain dalam wilayah
kabupaten/kota yang sama; dan
f. melakukan usaha di luar kegiatan usaha sebagaimana dimaksud
dalam Pasal 11 ayat (1).",14-,Cukup jelas.,,Cukup jelas.,1,2013
22,IV,KEGIATAN USAHA DAN CAKUPAN WILAYAH USAHA,Kesatu,Kegiatan Usaha,,,15,,"Ketentuan lebih lanjut mengenai kegiatan usaha LKM sebagaimana
dimaksud dalam Pasal 11 sampai dengan Pasal 14 diatur dalam Peraturan
Otoritas Jasa Keuangan.",15-,Cukup jelas.,,Cukup jelas.,1,2013
23,IV,KEGIATAN USAHA DAN CAKUPAN WILAYAH USAHA,Kedua,Cakupan Wilayah Usaha,,,16,1," Cakupan wilayah usaha suatu LKM berada dalam satu wilayah
desa/kelurahan, kecamatan, atau kabupaten/kota.",16-1,Cukup jelas.,,,1,2013
24,IV,KEGIATAN USAHA DAN CAKUPAN WILAYAH USAHA,Kedua,Cakupan Wilayah Usaha,,,16,2," Luas cakupan wilayah usaha sebagaimana dimaksud pada ayat (1)
disesuaikan dengan skala usaha LKM yang diatur dalam Peraturan
Pemerintah.",16-2,Cukup jelas.,,,1,2013
25,IV,KEGIATAN USAHA DAN CAKUPAN WILAYAH USAHA,Kedua,Cakupan Wilayah Usaha,,,17,,"Dalam hal terjadi pemekaran wilayah:
a. Pinjaman atau Pembiayaan yang telah disalurkan LKM di luar wilayah
usahanya tetap dapat dilanjutkan sampai dengan jangka waktu
Pinjaman atau Pembiayaan berakhir; dan
b. Simpanan yang telah diterima LKM dari Penyimpan di luar wilayah
usahanya tetap dapat dilanjutkan sampai dengan penutupan
Simpanan.",17-,Cukup jelas.,,Cukup jelas.,1,2013
26,IV,KEGIATAN USAHA DAN CAKUPAN WILAYAH USAHA,Kedua,Cakupan Wilayah Usaha,,,18,,"LKM yang tempat kedudukan dan cakupan wilayah usahanya mengalami
perubahan sebagai akibat dari pemekaran wilayah harus memberitahukan
kepada Otoritas Jasa Keuangan.",18-,Cukup jelas.,,Cukup jelas.,1,2013
27,V,PENJAMINAN SIMPANAN,,,,,19,1," Untuk menjamin Simpanan masyarakat pada LKM, Pemerintah
Daerah dan/atau LKM dapat membentuk lembaga penjamin
simpanan LKM.",19-1,Cukup jelas.,,,1,2013
28,V,PENJAMINAN SIMPANAN,,,,,19,2," Dalam hal diperlukan, Pemerintah bersama Pemerintah Daerah dan
LKM dapat mendirikan lembaga penjamin simpanan LKM.",19-2,Cukup jelas.,,,1,2013
29,V,PENJAMINAN SIMPANAN,,,,,19,3," Ketentuan lebih lanjut mengenai lembaga sebagaimana dimaksud
pada ayat (1) dan ayat (2) diatur dengan Peraturan Pemerintah.",19-3,Cukup jelas.,,,1,2013
30,VI,INFORMASI,,,,,20,,"Pengurus LKM dapat melakukan tukar-menukar informasi dan data
mengenai penerima Pinjaman atau Pembiayaan dengan LKM lain.",20-,Cukup jelas.,,Cukup jelas.,1,2013
31,VI,INFORMASI,,,,,21,1," Anggota dewan komisaris atau pengawas, direksi atau pengurus,
pegawai, dan pihak terafiliasi LKM wajib merahasiakan informasi
Penyimpan dan Simpanan.",21-1,"Ayat (1)
Yang dimaksud dengan ”pihak terafiliasi” adalah:
a. pemegang saham, anggota, dan pihak yang memberikan
jasanya kepada LKM, antara lain akuntan publik,
penilai, dan konsultan hukum; dan
b. pihak yang turut serta mempengaruhi pengelolaan LKM,
antara lain pemegang saham dan keluarganya, keluarga
komisaris, keluarga pengawas, keluarga direksi, atau
keluarga pengurus.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.",1,"Yang dimaksud dengan ”pihak terafiliasi” adalah:
a. pemegang saham, anggota, dan pihak yang memberikan
jasanya kepada LKM, antara lain akuntan publik,
penilai, dan konsultan hukum; dan
b. pihak yang turut serta mempengaruhi pengelolaan LKM,
antara lain pemegang saham dan keluarganya, keluarga
komisaris, keluarga pengawas, keluarga direksi, atau
keluarga pengurus.",1,2013
32,VI,INFORMASI,,,,,21,2," Kewajiban merahasiakan informasi sebagaimana dimaksud pada ayat(1) tidak berlaku dalam hal informasi Penyimpan dan Simpanan
untuk:
a. kepentingan perpajakan;
b. kepentingan peradilan dalam perkara pidana;
c. kepentingan peradilan dalam perkara perdata; atau
d. hal lain yang ditetapkan dalam Peraturan Otoritas Jasa
Keuangan.",21-2,"Ayat (1)
Yang dimaksud dengan ”pihak terafiliasi” adalah:
a. pemegang saham, anggota, dan pihak yang memberikan
jasanya kepada LKM, antara lain akuntan publik,
penilai, dan konsultan hukum; dan
b. pihak yang turut serta mempengaruhi pengelolaan LKM,
antara lain pemegang saham dan keluarganya, keluarga
komisaris, keluarga pengawas, keluarga direksi, atau
keluarga pengurus.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.",2,Cukup jelas.,1,2013
33,VI,INFORMASI,,,,,21,3," Anggota direksi atau pengurus, dan pegawai LKM wajib memberikan
informasi Penyimpan dan Simpanan untuk kepentingan sebagaimana
dimaksud pada ayat (2).",21-3,"Ayat (1)
Yang dimaksud dengan ”pihak terafiliasi” adalah:
a. pemegang saham, anggota, dan pihak yang memberikan
jasanya kepada LKM, antara lain akuntan publik,
penilai, dan konsultan hukum; dan
b. pihak yang turut serta mempengaruhi pengelolaan LKM,
antara lain pemegang saham dan keluarganya, keluarga
komisaris, keluarga pengawas, keluarga direksi, atau
keluarga pengurus.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.",3,Cukup jelas.,1,2013
34,VI,INFORMASI,,,,,21,4," Ketentuan lebih lanjut mengenai tata cara untuk memperoleh
informasi sebagaimana dimaksud pada ayat (2) dan ayat (3) diatur
dalam Peraturan Otoritas Jasa Keuangan.",21-4,"Ayat (1)
Yang dimaksud dengan ”pihak terafiliasi” adalah:
a. pemegang saham, anggota, dan pihak yang memberikan
jasanya kepada LKM, antara lain akuntan publik,
penilai, dan konsultan hukum; dan
b. pihak yang turut serta mempengaruhi pengelolaan LKM,
antara lain pemegang saham dan keluarganya, keluarga
komisaris, keluarga pengawas, keluarga direksi, atau
keluarga pengurus.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.",4,Cukup jelas.,1,2013
35,VII,"PENGGABUNGAN, PELEBURAN, DAN PEMBUBARAN",,,,,22,1," LKM dapat melakukan penggabungan atau peleburan dengan 1 (satu)
atau lebih LKM lainnya dengan persetujuan Otoritas Jasa Keuangan.",22-1,Cukup jelas.,,,1,2013
36,VII,"PENGGABUNGAN, PELEBURAN, DAN PEMBUBARAN",,,,,22,2," Ketentuan lebih lanjut mengenai penggabungan atau peleburan LKM
sebagaimana dimaksud pada ayat (1) diatur dalam Peraturan Otoritas
Jasa Keuangan.",22-2,Cukup jelas.,,,1,2013
37,VII,"PENGGABUNGAN, PELEBURAN, DAN PEMBUBARAN",,,,,23,1," Dalam hal LKM mengalami kesulitan likuiditas dan solvabilitas yang
membahayakan keberlangsungan usahanya, Otoritas Jasa Keuangan
dapat melakukan tindakan agar:
a. pemegang saham atau anggota koperasi menambah modal;
b. pemegang saham mengganti dewan komisaris atau pengawas
dan/atau direksi atau pengurus LKM;
c. LKM menghapusbukukan Pinjaman atau Pembiayaan yang macet
dan memperhitungkan kerugian LKM dengan modalnya;
d. LKM melakukan penggabungan atau peleburan dengan LKM lain;
e. kepemilikan LKM dialihkan kepada pihak lain yang bersedia
mengambil alih seluruh kewajiban;
f. LKM menyerahkan pengelolaan seluruh atau sebagian kegiatan
LKM kepada pihak lain; atau
g. LKM menjual sebagian atau seluruh harta dan/atau kewajiban
LKM kepada LKM atau pihak lain.",23-1,Cukup jelas.,,,1,2013
38,VII,"PENGGABUNGAN, PELEBURAN, DAN PEMBUBARAN",,,,,23,2," Dalam hal tindakan sebagaimana dimaksud pada ayat (1) belum
cukup untuk mengatasi kesulitan likuiditas dan solvabilitas LKM,
Otoritas Jasa Keuangan mencabut izin usaha LKM dan
memerintahkan direksi atau pengurus LKM untuk segera
menyelenggarakan Rapat Umum Pemegang Saham, Rapat Anggota
atau rapat sejenis guna membubarkan badan hukum LKM dan
membentuk tim likuidasi.",23-2,Cukup jelas.,,,1,2013
39,VII,"PENGGABUNGAN, PELEBURAN, DAN PEMBUBARAN",,,,,23,3," Ketentuan lebih lanjut mengenai pembubaran LKM sebagaimana
dimaksud pada ayat (2) diatur dalam Peraturan Otoritas Jasa
Keuangan.",23-3,Cukup jelas.,,,1,2013
40,VIII,PERLINDUNGAN PENGGUNA JASA LKM,,,,,24,,"Untuk kepentingan pengguna jasa, LKM harus menyediakan informasi
terbuka kepada masyarakat paling sedikit mengenai:
a. wewenang dan tanggung jawab pengurus LKM;
b. ketentuan dan persyaratan yang perlu diketahui oleh Penyimpan dan
Peminjam; dan
c. kemungkinan timbulnya risiko kerugian sehubungan dengan
transaksi LKM dengan pihak lain.",24-,Cukup jelas.,,Cukup jelas.,1,2013
41,VIII,PERLINDUNGAN PENGGUNA JASA LKM,,,,,25,,"Untuk perlindungan Penyimpan dan masyarakat, Otoritas Jasa Keuangan
berwenang melakukan tindakan pencegahan kerugian Penyimpan dan
masyarakat yang meliputi:
a. memberikan informasi dan edukasi kepada masyarakat atas
karakteristik dan kegiatan usaha LKM;
b. meminta LKM untuk menghentikan kegiatannya apabila kegiatan
tersebut berpotensi merugikan masyarakat; dan
c. tindakan lain yang dianggap perlu sesuai dengan Undang-Undang ini.",25-,Cukup jelas.,,Cukup jelas.,1,2013
42,VIII,PERLINDUNGAN PENGGUNA JASA LKM,,,,,26,,"Otoritas Jasa Keuangan melakukan pelayanan pengaduan Penyimpan
yang meliputi:
a. menyiapkan perangkat untuk pelayanan pengaduan Penyimpan yang
dirugikan oleh LKM;
b. membuat mekanisme pengaduan Penyimpan yang dirugikan oleh
LKM; dan
c. memfasilitasi penyelesaian pengaduan Penyimpan yang dirugikan oleh
LKM.",26-,Cukup jelas.,,Cukup jelas.,1,2013
43,IX,TRANSFORMASI LKM,,,,,27,,"LKM wajib bertransformasi menjadi bank jika:
a. LKM melakukan kegiatan usaha melebihi 1 (satu) wilayah
kabupaten/kota tempat kedudukan LKM; atau
b. LKM telah memenuhi persyaratan yang ditetapkan dalam Peraturan
Otoritas Jasa Keuangan.",27-,Cukup jelas.,,Cukup jelas.,1,2013
44,X,"PEMBINAAN, PENGATURAN, DAN PENGAWASAN",,,,,28,1," Pembinaan, pengaturan, dan pengawasan LKM dilakukan oleh
Otoritas Jasa Keuangan.",28-1,Cukup jelas.,,,1,2013
45,X,"PEMBINAAN, PENGATURAN, DAN PENGAWASAN",,,,,28,2," Dalam melakukan pembinaan sebagaimana dimaksud pada ayat (1),
Otoritas Jasa Keuangan melakukan koordinasi dengan kementerian
yang menyelenggarakan urusan koperasi dan Kementerian Dalam
Negeri.",28-2,Cukup jelas.,,,1,2013
46,X,"PEMBINAAN, PENGATURAN, DAN PENGAWASAN",,,,,28,3," Pembinaan dan pengawasan sebagaimana dimaksud pada ayat (1)
didelegasikan kepada Pemerintah Daerah Kabupaten/Kota.",28-3,Cukup jelas.,,,1,2013
47,X,"PEMBINAAN, PENGATURAN, DAN PENGAWASAN",,,,,28,4," Dalam hal Pemerintah Daerah Kabupaten/Kota belum siap, Otoritas
Jasa Keuangan dapat mendelegasikan pembinaan dan pengawasan
sebagaimana dimaksud pada ayat (1) kepada pihak lain yang
ditunjuk.",28-4,Cukup jelas.,,,1,2013
48,X,"PEMBINAAN, PENGATURAN, DAN PENGAWASAN",,,,,28,5," Ketentuan mengenai hal yang berkaitan dengan pembinaan dan
pengawasan yang didelegasikan kepada Pemerintah Daerah
Kabupaten/Kota sebagaimana dimaksud pada ayat (3) dan pihak lain
yang ditunjuk sebagaimana dimaksud pada ayat (4) diatur dalam
Peraturan Otoritas Jasa Keuangan.",28-5,Cukup jelas.,,,1,2013
49,X,"PEMBINAAN, PENGATURAN, DAN PENGAWASAN",,,,,29,1," LKM wajib melakukan dan memelihara pencatatan dan/atau
pembukuan keuangan sesuai dengan standar akuntansi keuangan
yang berlaku.",29-1,Cukup jelas.,,,1,2013
50,X,"PEMBINAAN, PENGATURAN, DAN PENGAWASAN",,,,,29,2," Dalam melakukan dan memelihara pencatatan dan/atau pembukuan
sebagaimana dimaksud pada ayat (1), direksi atau pengurus LKM
dilarang:
a. membuat pencatatan palsu dalam pembukuan dan/atau laporan
keuangan tanpa didukung dengan dokumen yang sah;
b. menghilangkan atau tidak memasukkan informasi yang benar
dalam laporan kegiatan usaha, laporan keuangan, atau rekening
LKM; dan
c. mengubah, mengaburkan, menyembunyikan, menghapus, atau
menghilangkan suatu pencatatan dalam pembukuan atau dalam
laporan keuangan, maupun dalam dokumen atau laporan
kegiatan usaha.",29-2,Cukup jelas.,,,1,2013
51,X,"PEMBINAAN, PENGATURAN, DAN PENGAWASAN",,,,,30,1," LKM wajib menyampaikan kepada Otoritas Jasa Keuangan:
a. laporan keuangan setiap 4 (empat) bulan; dan/atau
b. laporan lain yang ditetapkan dalam Peraturan Otoritas Jasa
Keuangan.",30-1,Cukup jelas.,,,1,2013
52,X,"PEMBINAAN, PENGATURAN, DAN PENGAWASAN",,,,,30,2," LKM wajib mengumumkan laporan keuangan dalam rangka
menerapkan prinsip keterbukaan.",30-2,Cukup jelas.,,,1,2013
53,X,"PEMBINAAN, PENGATURAN, DAN PENGAWASAN",,,,,31,,"Dalam rangka pembinaan dan pengawasan sebagaimana dimaksud dalam
Pasal 28 ayat (1), Otoritas Jasa Keuangan melakukan pemeriksaan
terhadap LKM.",31-,Cukup jelas.,,Cukup jelas.,1,2013
54,X,"PEMBINAAN, PENGATURAN, DAN PENGAWASAN",,,,,32,,"Ketentuan lebih lanjut mengenai pembinaan, pengaturan, dan pengawasan
LKM sebagaimana dimaksud dalam Pasal 28 sampai dengan Pasal 31
diatur dalam Peraturan Otoritas Jasa Keuangan.",32-,Cukup jelas.,,Cukup jelas.,1,2013
55,XI,SANKSI ADMINISTRATIF,,,,,33,1," Setiap LKM yang melanggar ketentuan sebagaimana dimaksud dalam
Pasal 6, Pasal 8, Pasal 11, Pasal 12 ayat (2), Pasal 13 ayat (1), Pasal
14, Pasal 18, Pasal 24, Pasal 27, Pasal 29 ayat (1), dan Pasal 30
dikenai sanksi administratif berupa:
a. denda uang;
b. peringatan tertulis;
c. pembekuan kegiatan usaha;
d. pemberhentian direksi atau pengurus LKM dan selanjutnya
menunjuk dan mengangkat pengganti sementara sampai Rapat
Umum Pemegang Saham atau Rapat Anggota Koperasi
mengangkat pengganti yang tetap dengan persetujuan Otoritas
Jasa Keuangan; atau
e. pencabutan izin usaha.",33-1,Cukup jelas.,,,1,2013
56,XI,SANKSI ADMINISTRATIF,,,,,33,2," Pengenaan sanksi administratif sebagaimana dimaksud pada ayat (1)
sesuai dengan tingkat pelanggaran yang dilakukan.",33-2,Cukup jelas.,,,1,2013
